location_tag,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence
verona,0.625,0.0,0.375,0.5138854384422302,0.74347884953022,8,True
fish hatchery,0.5,0.0,0.5,0.4726265072822571,0.8736453652381897,2,True
park street,0.5,0.0,0.5,0.3611173629760742,0.7174915969371796,2,True
cottage grove,0.4,0.0,0.6,0.347125506401062,0.8398015379905701,5,True
north side,0.5,0.125,0.375,0.3358246460556984,0.7969330996274948,8,True
camp randall,0.47058823529411764,0.11764705882352941,0.4117647058823529,0.32492321203736696,0.7556691923562218,17,False
monona,0.4411764705882353,0.11764705882352941,0.4411764705882353,0.31554631625904755,0.756072948084158,34,False
monroe street,0.4631578947368421,0.07368421052631578,0.4631578947368421,0.30481156644068264,0.7739644006678933,95,False
middleton,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.2939425880710284,0.7456181587444412,36,False
junction,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.251732390660506,0.7742265737973727,13,False
capitol square,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.22044802705446878,0.739844024181366,24,False
isthmus,0.25,0.0625,0.6875,0.16083141788840294,0.7579403668642044,16,False
atwood,0.28651685393258425,0.11235955056179775,0.601123595505618,0.1583060963769977,0.7711552252595344,178,False
willy street,0.29775280898876405,0.16853932584269662,0.5337078651685393,0.13394588098097382,0.7680475949571374,178,False
hilldale,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.13027520613236862,0.6810460415753451,11,False
downtown,0.30799069045771915,0.16912335143522111,0.5228859581070597,0.12443653757115312,0.7347804007602349,1289,False
west side,0.2815533980582524,0.15857605177993528,0.5598705501618123,0.10680285134747576,0.7283754581193708,309,False
tenney,0.16666666666666666,0.0,0.8333333333333334,0.10372896989186604,0.6943849424521128,6,True
east side,0.29004329004329005,0.17316017316017315,0.5367965367965368,0.09894316382222361,0.741706255968515,231,False
campus,0.2761904761904762,0.1523809523809524,0.5714285714285714,0.08531139975502378,0.7075994687420981,105,False
fitchburg,0.23076923076923078,0.19230769230769232,0.5769230769230769,0.06071142279184782,0.7320368232635351,26,False
sun prairie,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.06030490765204796,0.6745644991214459,13,False
marquette,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.03631189891270229,0.762065759726933,7,True
general madison,0.26211546565528865,0.2836072482090181,0.45427728613569324,0.006619647792055794,0.7210378272594704,2373,False
south side,0.0,0.0,1.0,0.0,0.7551422715187073,3,True
waunakee,0.0,0.0,1.0,0.0,0.684102455774943,3,True
east washington,0.15328467153284672,0.24087591240875914,0.6058394160583942,-0.03730112727541123,0.7317976679680122,137,False
deforest,0.0,0.2,0.8,-0.09896642565727234,0.7502781212329864,5,True
vilas,0.0,0.2,0.8,-0.11825798749923706,0.6815717339515686,5,True
