location_tag,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence,lat,lon
verona,0.625,0.0,0.375,0.5138854384422302,0.74347884953022,8,True,42.9919,-89.5332
fish hatchery,0.5,0.0,0.5,0.4726265072822571,0.8736453652381897,2,True,43.04,-89.39
park street,0.5,0.0,0.5,0.3611173629760742,0.7174915969371796,2,True,43.055,-89.39
cottage grove,0.4,0.0,0.6,0.347125506401062,0.8398015379905701,5,True,43.0761,-89.1996
north side,0.5,0.125,0.375,0.3358246460556984,0.7969330996274948,8,True,43.11,-89.38
camp randall,0.4705882352941176,0.1176470588235294,0.4117647058823529,0.3249232120373669,0.7556691923562218,17,False,43.07,-89.4128
monona,0.4411764705882353,0.1176470588235294,0.4411764705882353,0.3155463162590475,0.756072948084158,34,False,43.062,-89.334
monroe street,0.4631578947368421,0.0736842105263157,0.4631578947368421,0.3048115664406826,0.7739644006678933,95,False,43.0505,-89.4076
middleton,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.2939425880710284,0.7456181587444412,36,False,43.0972,-89.5043
junction,0.4615384615384615,0.2307692307692307,0.3076923076923077,0.251732390660506,0.7742265737973727,13,False,43.064,-89.51
capitol square,0.4166666666666667,0.1666666666666666,0.4166666666666667,0.2204480270544687,0.739844024181366,24,False,43.0748,-89.3839
isthmus,0.25,0.0625,0.6875,0.1608314178884029,0.7579403668642044,16,False,43.075,-89.39
atwood,0.2865168539325842,0.1123595505617977,0.601123595505618,0.1583060963769977,0.7711552252595344,178,False,43.0652,-89.3621
willy street,0.297752808988764,0.1685393258426966,0.5337078651685393,0.1339458809809738,0.7680475949571374,178,False,43.0669,-89.3704
hilldale,0.3636363636363636,0.1818181818181818,0.4545454545454545,0.1302752061323686,0.6810460415753451,11,False,43.073,-89.45
downtown,0.3079906904577191,0.1691233514352211,0.5228859581070597,0.1244365375711531,0.7347804007602349,1289,False,43.074,-89.384
west side,0.2815533980582524,0.1585760517799352,0.5598705501618123,0.1068028513474757,0.7283754581193708,309,False,43.065,-89.48
tenney,0.1666666666666666,0.0,0.8333333333333334,0.103728969891866,0.6943849424521128,6,True,43.085,-89.37
east side,0.29004329004329,0.1731601731601731,0.5367965367965368,0.0989431638222236,0.741706255968515,231,False,43.075,-89.33
campus,0.2761904761904762,0.1523809523809524,0.5714285714285714,0.0853113997550237,0.7075994687420981,105,False,43.0766,-89.4125
fitchburg,0.2307692307692307,0.1923076923076923,0.5769230769230769,0.0607114227918478,0.7320368232635351,26,False,42.9609,-89.4237
sun prairie,0.3076923076923077,0.3076923076923077,0.3846153846153846,0.0603049076520479,0.6745644991214459,13,False,43.1836,-89.2137
marquette,0.1428571428571428,0.1428571428571428,0.7142857142857143,0.0363118989127022,0.762065759726933,7,True,43.08,-89.365
general madison,0.2621154656552886,0.2836072482090181,0.4542772861356932,0.0066196477920557,0.7210378272594704,2373,False,43.0731,-89.4012
south side,0.0,0.0,1.0,0.0,0.7551422715187073,3,True,43.03,-89.38
waunakee,0.0,0.0,1.0,0.0,0.684102455774943,3,True,43.1919,-89.4554
east washington,0.1532846715328467,0.2408759124087591,0.6058394160583942,-0.0373011272754112,0.7317976679680122,137,False,43.0789,-89.3532
deforest,0.0,0.2,0.8,-0.0989664256572723,0.7502781212329864,5,True,43.2478,-89.3473
vilas,0.0,0.2,0.8,-0.118257987499237,0.6815717339515686,5,True,43.055,-89.41
